metro_area,community_name,builder,phase,street_name,full_address,bedrooms,sqft,purchase_price,rent_price,list_date,rent_date,days_on_market,status,source_url,last_checked_date,status_changed
"Hickory, NC",Falls At Hickory,D.R. Horton,,37th Avenue Lane Ne,"1361 37th Avenue Ln NE, Hickory, NC 28601",4,1927,,,2026-07-08,2026-08-07,30,previously rented,https://www.zillow.com/homedetails/1361-37th-Avenue-Ln-NE-Hickory-NC-28601/455076115_zpid/,2026-09-05,currently for rent -> previously rented (2026-08-12)
"Hickory, NC",Huffman Ridge,D.R. Horton,,20th Ave Loop Se,"1031 20th Avenue Loop SE, Hickory, NC 28602",4,1613,,1995,2026-08-03,,17,currently for rent,https://www.zillow.com/homedetails/1031-20th-Avenue-Loop-SE-Hickory-NC-28602/447124343_zpid/,2026-09-05,
"Hickory, NC",Hamptons At Hickory,D.R. Horton,,13th Avenue Drive Ne,"667 13th Avenue Dr NE, Hickory, NC 28601",4,2174,,2355,2026-07-14,,47,currently for rent,https://www.zillow.com/homedetails/667-13th-Avenue-Dr-NE-Hickory-NC-28601/461540370_zpid/,2026-09-05,
"Hickory, NC",Hamptons At Hickory,D.R. Horton,,13th Avenue Drive Ne,"654 13th Avenue Dr NE, Hickory, NC 28601",4,2174,,2375,2026-07-14,,26,currently for rent,https://www.zillow.com/homedetails/654-13th-Avenue-Dr-NE-Hickory-NC-28601/463865047_zpid/,2026-09-05,
"Hickory, NC",Falls At Hickory,D.R. Horton,,37th Avenue Lane Ne,"1339 37th Avenue Ln NE, Hickory, NC 28601",4,1613,,2100,2026-07-23,,33,currently for rent,https://www.zillow.com/homedetails/1339-37th-Avenue-Ln-NE-Hickory-NC-28601/443216841_zpid/,2026-09-05,
"Hickory, NC",Zion Springs,D.R. Horton,,Mammoth Road,"1423 Mammoth Rd, Hickory, NC 28602",4,1927,,2195,2026-07-14,,48,currently for rent,https://www.zillow.com/homedetails/1423-Mammoth-Rd-Hickory-NC-28602/461722831_zpid/,2026-09-05,
"Hickory, NC",Falls At Hickory,D.R. Horton,,37th Avenue Lane Ne,"1342 37th Avenue Ln NE, Hickory, NC 28601",4,1927,,2350,2026-07-30,,28,currently for rent,https://www.zillow.com/homedetails/1342-37th-Avenue-Ln-NE-Hickory-NC-28601/453027689_zpid/,2026-09-05,
"Hickory, NC",Falls At Hickory,D.R. Horton,,37th Avenue Lane Ne,"1330 37th Avenue Ln NE, Hickory, NC 28601",5,2368,330000,2700,2026-08-04,,26,currently for rent,https://www.zillow.com/homedetails/1330-37th-Avenue-Ln-NE-Hickory-NC-28601/452771842_zpid/,2026-09-05,
"Hickory, NC",Huffman Ridge,D.R. Horton,,10th Street Se,"2130 10th St SE, Hickory, NC 28602",4,2174,,2250,2026-08-07,,23,currently for rent,https://www.zillow.com/homedetails/2130-10th-St-SE-Hickory-NC-28602/463122074_zpid/,2026-09-05,
"Hickory, NC",Falls At Hickory,D.R. Horton,,37th Avenue Lane Ne,"1359 37th Avenue Ln NE, Hickory, NC 28601",4,1927,,2300,2026-08-13,,17,currently for rent,https://www.zillow.com/homedetails/1359-37th-Avenue-Ln-NE-Hickory-NC-28601/455923523_zpid/,2026-09-05,
"Hickory, NC",Falls At Hickory,D.R. Horton,,37th Avenue Lane Ne,"1121 37th Avenue Ln NE, Hickory, NC 28601",4,2174,365000,2360,2026-08-28,,2,currently for rent,https://www.zillow.com/homedetails/1121-37th-Avenue-Ln-NE-Hickory-NC-28601/2053947945_zpid/,2026-09-05,
"Hickory, NC",Zion Springs,D.R. Horton,,Mammoth Road,"1431 Mammoth Rd, Hickory, NC 28602",5,2368,307679,,,,0,unknown,https://www.zillow.com/homedetails/1431-Mammoth-Rd-Hickory-NC-28602/455924046_zpid/,2026-09-05,
"Hickory, NC",The Falls At Newton,D.R. Horton,,Janie Circle,"422 Janie Cir, Hickory, NC 28601",4,2800,,,,,1,unknown,https://www.zillow.com/homedetails/422-Janie-Cir-Hickory-NC-28601/460859494_zpid/,2026-09-05,
"Hickory, NC",Huffman Ridge,D.R. Horton,,10th Street Se,"2098 10th St SE, Hickory, NC 28601",4,2174,309000,,,,1,unknown,https://www.zillow.com/homedetails/2098-10th-St-SE-Hickory-NC-28601/461180979_zpid/,2026-09-05,
"Hickory, NC",Zion Springs,D.R. Horton,,Mammoth Road,"1415 Mammoth Rd, Hickory, NC 28602",4,1927,272500,,,,1,unknown,https://www.zillow.com/homedetails/1415-Mammoth-Rd-Hickory-NC-28602/461722523_zpid/,2026-09-05,
"Hickory, NC",Zion Springs,D.R. Horton,,Mammoth Road,"1419 Mammoth Rd, Hickory, NC 28602",5,2368,292400,,,,1,unknown,https://www.zillow.com/homedetails/1419-Mammoth-Rd-Hickory-NC-28602/461722721_zpid/,2026-09-05,
"Hickory, NC",Zion Springs,D.R. Horton,,Mammoth Road,"1411 Mammoth Rd, Hickory, NC 28602",5,2368,292400,,,,1,unknown,https://www.zillow.com/homedetails/1411-Mammoth-Rd-Hickory-NC-28602/463736170_zpid/,2026-09-05,
"Hickory, NC",Zion Springs,D.R. Horton,,Mammoth Road,"1406 Mammoth Rd, Hickory, NC 28602",3,1749,258000,,,,1,unknown,https://www.zillow.com/homedetails/1406-Mammoth-Rd-Hickory-NC-28602/460650036_zpid/,2026-09-05,
