filename,source_type,label,added_date
apify-2026-07-31-full.csv,apify,Zillow scraper export (Saline County area),2026-07-31
mls-2026-07-31.csv,mls,"MLS rental/lease export (Crystal Bliss / Danny Brightwell listings, statewide)",2026-07-31
apify-2026-08-01.csv,apify,Zillow scraper export (new batch),2026-08-01
sales-2026-08-01.csv,sales,For-sale MLS/builder inventory export (statewide),2026-08-01
sales-2026-08-04.csv,sales,"For-sale MLS/builder inventory export, batch 2",2026-08-04
apify-drive-14WbGU9d.csv,apify,"Drive/Apify Uploads - Zillow Maumelle (search results, created 2026-08-03T17:16Z)",2026-08-03
apify-drive-1lmCzE3h.csv,apify,"Drive/Apify Uploads - Zillow Maumelle (search results, created 2026-08-03T17:17Z)",2026-08-03
apify-drive-1xi6E5R0.csv,apify,"Drive/Apify Uploads - Zillow Maumelle (detail pages, created 2026-08-03T21:10Z)",2026-08-03
apify-drive-1pzhwomFp.csv,apify,"Drive/Apify Uploads - Zillow Maumelle (detail pages, created 2026-08-03T21:10Z)",2026-08-03
mls-2026-08-03.csv,mls,"MLS rental/lease export, batch 3 (statewide)",2026-08-03
manual-entries.csv,manual,Listings pasted directly in chat (no original export file),2026-08-04
apify-drive-3.csv,apify,"Zillow Maumelle export, batch 3 (uploaded directly)",2026-08-03
apify-drive-5.csv,apify,"Zillow Maumelle export, batch 5 (uploaded directly)",2026-08-04
apify-run-2026-08-04.csv,apify,Apify actor runs 34n6rBUHifdpFK36L + HH4Zc6uuQyH1ir21Z (2026-08-04T18:10Z),2026-08-04
apify-drive-1ut9e7DXeI.csv,apify,"Drive/Apify Uploads - Zillow Maumelle, created 2026-08-05T12:38Z",2026-08-05
apify-drive-1TRU1llWzN.csv,apify,"Drive/Apify Uploads - Zillow Maumelle, created 2026-08-05T12:38Z",2026-08-05
apify-drive-1OKRD4694c.csv,apify,"Drive/Apify Uploads - Zillow Maumelle, created 2026-08-04T18:12Z",2026-08-05
apify-drive-10IhpySyYJ.csv,apify,"Drive/Apify Uploads - Zillow Maumelle, created 2026-08-04T18:12Z",2026-08-05
apify-drive-1gwbzGQpIi.csv,apify,"Drive/Apify Uploads - Zillow Maumelle, created 2026-08-03T22:53Z",2026-08-05
apify-drive-1cp0HKj4Uk.csv,apify,"Drive/Apify Uploads - Zillow Maumelle, created 2026-08-03T22:53Z",2026-08-05
sales-2026-08-06.csv,sales,"Paragon Hotsheet (recent activity, ~6 days) uploaded 2026-08-06",2026-08-06
apify-upload-11.csv,apify,"Zillow Maumelle export, batch 11 (uploaded directly)",2026-08-07
apify-upload-10.csv,apify,"Zillow Maumelle export, batch 10 (uploaded directly)",2026-08-07
apify-run-2026-08-10.csv,apify,Apify actor runs kYY7crETbTdH2x2xb + yMkXPEHWslG36W4D8 (2026-08-10T12:36Z),2026-08-10
apify-run-2026-08-12.csv,apify,Apify actor runs spJKeI3u2tPW8l6HO + ABpxE6MmTpGHAXE6J (2026-08-12T12:36Z),2026-08-12
apify-run-2026-08-14.csv,apify,Apify actor runs ZvWmG5Vn7vMbjGwOC + znKyD8uAsWyF17a1T (2026-08-14T12:36Z),2026-08-14
apify-run-2026-08-17.csv,apify,Apify actor runs K6C8OVNZwGBdfMm4Z + Fz5Jf0uzxVhRij1XN (2026-08-17T12:36Z),2026-08-17
